R1,R2
0,63.32
1,63.32
2,62.61780458
3,62.60434258
4,62.6
5,62.92004825
6,62.96
7,62.96
8,63.25008444
9,63.0399035
10,63.23010856
11,63.32
12,63.32
13,63.05379976
14,63.21838359
15,63.32
16,62.90137515
17,62.78759952
18,63.18711701
19,63.38991556
20,63.22620024
21,63.43768396
22,62.69075995
23,62.62518697
24,63.00038601
25,63.05379976
26,62.5439807
27,62.53963812
28,62.88487334
29,62.87966224
30,62.71334138
31,63.32
32,63.32
33,63.23531966
34,62.986924
35,63.30176116
36,63.22316043
37,62.88096502
38,63.43290712
39,62.97954162
40,63.14195416
41,62.99951749
42,63.06074789
43,63.18364294
44,63.3490953
45,62.40697226
46,63.22533172
47,63.38209891
48,63.3625573
49,63.32
50,62.89268999
51,63.95879373
52,63.13196622
53,63.32
54,63.32
55,63.53104946
56,63.95141134
57,63.15932449
58,63.18277443
59,63.59401689
60,63.38904704
61,63.79377563
62,63.65220748
63,63.74731001
64,64.42084439
65,64.50986731
66,63.85674306
67,63.81635706
68,63.78161641
69,64.17505428
70,64.27536791
71,63.64178528
72,64.23498191
73,64.47860072
74,64.81645356
75,64.72743064
76,64.4290953
77,64.84685163
78,64.30185766
79,65.11609168
80,64.84468034
81,64.82340169
82,65.39314837
83,65.40053076
84,65.48217129
85,65.21510253
86,65.39662244
87,65.25896261
88,65.41312425
89,65.22074789
90,65.33539204
91,65.64241255
92,65.65544029
93,66.36067551
94,66.12053076
95,66.2560193
96,66.05756333
97,65.85519903
98,66.31117008
99,66.77278649
100,66.64077201
101,66.52916767
102,66.81404101
103,66.9812304
104,67.0051146
105,66.52395657
106,66.59126659
107,67.17143546
108,67.29129071
109,67.63869723
110,67.36337756
111,67.55141134
112,67.27261761
113,67.62588661
114,67.55835947
115,68.2427503
116,68.11638118
117,68.92279855
118,68.72868516
119,68.55975875
120,68.86981906
121,68.85244873
122,69.29018094
123,69.25240048
124,69.89075995
125,69.72313631
126,69.37442702
127,70.0158263
128,69.88728589
129,70.32154403
130,69.66320869
131,70.30156815
132,70.36800965
133,69.99020507
134,70.83179735
135,70.62161641
136,70.78837153
137,70.60989144
138,71.05544029
139,71.6
140,71.46841978
141,71.3437877
142,71.30340169
143,71.93828709
144,71.98605549
145,72.27613993
146,71.91483715
147,72.00299156
148,72.73645356
149,73.07864897
150,72.72820265
151,72.83112183
152,72.99635706
153,72.75773221
154,73.52202654
155,73.83816647
156,73.65794934
157,73.88593486
158,73.8855006
159,73.86248492
160,74.48
161,74.48
162,74.2880579
163,74.12
164,74.29196622
165,74.64197829
166,74.97288299
167,75.05799759
168,75.1066345
169,75.43319662
170,75.50050663
171,75.82880579
172,76.04419783
173,75.95430639
174,75.98405308
175,75.70200241
176,76.20791315
177,75.98427021
178,76.61177322
179,77.31353438
180,77.36
181,76.6773462
182,76.99522316
183,77.36
184,77.36
185,78.00443908
186,77.45553679
187,77.72694813
188,77.86634499
189,78.45954162
190,77.80772014
191,78.15512666
192,78.51946924
193,79.09920386
194,78.86861279
195,79.08357057
196,78.69447527
197,78.70924005
198,78.96718938
199,79.39145959
200,79.34759952
201,79.18258142
202,79.54127865
203,79.73756333
204,79.95338963
205,80.17008444
206,80.7037877
207,80.34248492
208,80.87445115
209,80.99126659
210,80.88704463
211,81.09896261
212,80.80279855
213,81.17712907
214,81.09505428
215,81.34258142
216,81.78769602
217,82.04
218,81.9362123
219,81.96921592
220,82.03392039
221,82.14248492
222,82.25626055
223,82.76
224,83.1095778
225,83.43092883
226,82.84728589
227,83.28328106
228,83.20554885
229,83.38055489
230,84.20173703
231,83.74880579
232,84.19435464
233,83.85606755
234,84.55565742
235,84.54827503
236,84.22562123
237,84.59951749
238,85.01944511
239,84.84443908
240,84.97167672
241,85.04289505
242,85.30518697
243,85.37705669
244,85.42851628
245,85.40636912
246,85.32212304
247,86.05862485
248,85.91010856
249,85.94745476
250,86.50634499
251,86.56583836
252,86.95493366
253,86.72303981
254,87.07305187
255,87.36965018
256,86.83290712
257,87.67797346
258,87.8
259,87.65669481
260,87.86861279
261,87.87686369
262,87.8
263,87.8
264,87.90422195
265,88.06359469
266,88.28680338
267,88.8239807
268,88.69674306
269,89.17486128
270,88.93732207
271,89.39199035
272,89.6
273,89.6
274,89.6
275,89.6
276,89.6
277,89.95869723
278,89.95739445
279,89.96651387
280,90.59705669
281,90.18147165
282,90.94837153
283,91.04303981
284,91.34788902
285,91.09992762
286,91.33182147
287,91.05433052
288,91.4
289,91.4
290,91.4560193
291,91.69008444
292,91.57196622
293,91.89983112
294,92.18513872
295,92.05095296
296,92.19295537
297,92.63329312
298,92.76487334
299,93.36718938
300,93.56
301,93.56
302,93.56
303,93.79667069
304,93.92
305,93.77626055
306,93.6959228
307,93.92
308,93.92
309,94.56747889
310,94.66605549
311,95.08468034
312,94.82347407
313,94.77939686
314,94.82716526
315,95.40342581
316,95.66267793
317,95.39387214
318,95.37129071
319,95.45814234
320,96.24675513
321,96.67319662
322,96.58069964
323,96.8
324,96.8
325,96.8
326,96.8
327,97.35411339
328,97.61987937
329,97.43401689
330,97.52564536
331,97.82050663
332,97.60033776
333,97.8135585
334,98.15401689
335,98.29732207
336,98.15879373
337,98.48405308
338,98.97172497
339,98.72202654
340,98.83015682
341,98.78238842
342,99.15411339
343,99.52670688
344,99.68
345,99.68
346,99.68
347,99.96834741
348,100.4
349,100.307503
350,100.2684198
351,100.5763088
352,100.7009409
353,100.7613028
354,101.34538
355,101.48
356,101.48
357,101.5242943
358,101.84
359,101.84
360,101.84
361,102.1626538
362,101.8925452
363,102.74
364,102.5217853
365,102.6129795
366,103.28
367,103.584415
368,103.64
369,103.64
370,103.64
371,103.64
372,103.64
373,104.0138963
374,104.3065862
375,104.1324487
376,104.3252593
377,104.6815682
378,104.8811098
379,105.145573
380,105.44
381,105.44
382,105.44
383,105.584608
384,105.66538
385,105.8030398
386,106.0440531
387,106.706731
388,106.5703739
389,106.8035706
390,107.24
391,107.2204584
392,106.9134379
393,107.24
394,107.24
395,107.3398794
396,107.8562123
397,107.3524729
398,108.4463691
399,108.2062244
400,108.081158
401,108.8033293
402,108.8675995
403,108.8662967
404,109.04
405,109.04
406,109.3148854
407,109.3769843
408,109.3991315
409,109.9654041
410,110.2450663
411,110.12
412,110.3349578
413,110.48
414,110.48
415,110.48
416,110.4938963
417,111.1791556
418,111.3702292
419,111.442316
420,111.3350543
421,111.56
422,111.9842702
423,112.1749095
424,112.0151025
425,112.3651146
426,112.5648733
427,112.3451387
428,112.5848492
429,112.7220748
430,113.2366707
431,113.504608
432,113.5892883
433,113.72
434,113.72
435,113.72
436,113.72
437,114.3705187
438,114.308854
439,114.5689747
440,114.3131966
441,114.9189867
442,114.5928589
443,114.8442943
444,115.4839566
445,115.2099397
446,115.7553679
447,115.65462
448,115.841351
449,116.1418577
450,116.1657419
451,116.6
452,116.6
453,116.6
454,116.6
455,116.7889023
456,116.96
457,116.8688058
458,117.1028709
459,117.4055489
460,117.3321592
461,117.7655489
462,118.3261761
463,118.4
464,118.0860314
465,118.3678649
466,118.4
467,118.4
468,118.7756333
469,119.1143546
470,118.7643426
471,119.3918456
472,119.48
473,119.48
474,119.7957057
475,119.84
476,120.1357298
477,120.0488782
478,120.3272376
479,120.8518215
480,120.8479131
481,121.4319903
482,122
483,122
484,122
485,122
486,122
487,122.1858625
488,122.36
489,122.6713631
490,122.9241013
491,123.1950784
492,123.0969361
493,123.5628951
494,123.6949095
495,123.7752473
496,123.535971
497,123.8525452
498,124.1686852
499,124.1730277
500,124.2755127
501,124.9030157
502,125.2000483
503,125.6
504,125.6
505,125.6
506,125.6
507,125.6
508,125.6
509,125.6
510,125.9413269
511,125.6264897
512,125.9256936
513,126.2461761
514,126.5961882
515,126.7164777
516,127.2527865
517,127.0695296
518,127.3843667
519,127.4
520,127.4
521,127.6553438
522,127.5124729
523,127.6397105
524,127.8277443
525,128.3710012
526,128.5755368
527,128.693655
528,128.4930277
529,128.48
530,128.8161158
531,129.2
532,129.3789144
533,129.2920627
534,129.3537274
535,129.56
536,130.0289988
537,130.28
538,130.28
539,130.28
540,130.28
541,130.2865139
542,130.7277201
543,131
544,131
545,131
546,131
547,131.3339445
548,131.6787455
549,131.4151508
550,131.789047
551,131.9970567
552,131.8168396
553,132.08
554,132.08
555,132.6562606
556,132.5833052
557,132.6467069
558,132.9802171
559,132.9658866
560,133.1847527
561,133.3532449
562,133.3167672
563,133.3732207
564,133.2967913
565,133.52
566,133.9004101
567,133.984222
568,134.1279614
569,134.573076
570,134.9469723
571,134.5991315
572,134.2695296
573,134.96
574,134.96
575,135.1532449
576,135.3369361
577,135.68
578,135.68
579,135.68
580,135.68
581,135.8198311
582,136.2032811
583,136.04
584,136.2215199
585,136.5150784
586,136.6527382
587,136.4
588,136.6570808
589,136.8438118
590,137.3848975
591,137.48
592,137.48
593,137.48
594,137.8004825
595,137.84
596,138.0171773
597,138.2
598,138.213462
599,138.56
600,138.56
601,138.56
602,138.6772497
603,139.0055489
604,139.0832811
605,138.6472859
606,139.2517732
607,140
608,140.2952955
609,140.0725211
610,140.2796622
611,140.36
612,140.36
613,140.36
614,140.36
615,140.36
616,140.6262002
617,140.72
618,140.72
619,141.2367672
620,140.9410374
621,141.4886369
622,141.522509
623,141.44
624,141.7148854
625,142.1287334
626,141.8903257
627,142.4609409
628,142.2329554
629,142.52
630,142.52
631,142.7075995
632,142.987696
633,143.24
634,143.0823643
635,143.0276478
636,143.24
637,143.24
638,143.24
639,143.4658142
640,143.6
641,143.6
642,143.9452352
643,143.9925694
644,144.3130519
645,144.68
646,144.7177805
647,145.0122075
648,145.0486852
649,145.0321834
650,144.7008444
651,145.3878408
652,145.4
653,145.4
654,145.4
655,145.4
656,145.6800965
657,145.4877201
658,145.6644632
659,145.9037394
660,145.9623643
661,146.3510253
662,147.0779735
663,146.744029
664,146.9159952
665,146.9919903
666,147.0380217
667,147.2
668,147.2
669,147.3784801
670,147.56
671,147.8704946
672,148.0580941
673,148.28
674,148.28
675,148.28
676,148.2999759
677,148.64
678,148.64
679,148.64
680,148.64
681,148.772883
682,149.4251387
683,149.3882268
684,149.72
685,149.7282509
686,150.078263
687,149.731725
688,150.0582871
689,150.08
690,150.08
691,150.08
692,150.08
693,150.08
694,150.9632811
695,150.5407479
696,151.0653317
697,151.16
698,151.3984077
699,151.2915802
700,151.3784318
701,151.52
702,151.52
703,151.7436429
704,152.1909288
705,151.88
706,152.2061279
707,152.3585525
708,152.24
709,152.4658142
710,152.6
711,152.7085645
712,153.1202413
713,153.32
714,153.1319662
715,153.16193
716,153.5358263
717,153.68
718,153.718649
719,154.1589867
720,154.0586731
721,154.4086852
722,154.7586972
723,154.76
724,154.76
725,154.76
726,155.1147889
727,155.12
728,155.1425814
729,155.4435223
730,155.1703739
731,155.48
732,155.48
733,155.5182147
734,156.0484439
735,155.8625814
736,156.2
737,156.4088782
738,156.5226538
739,156.7489023
740,156.92
741,156.92
742,156.92
743,156.92
744,157.0589626
745,157.8432328
746,157.7034017
747,157.6421713
748,157.64
749,158.2688058
750,158.0317008
751,158.3421954
752,158.36
753,158.36
754,158.3990832
755,158.6909047
756,158.3982147
757,159.08
758,159.08
759,159.2749819
760,159.44
761,159.44
762,159.5750543
763,159.6510495
764,159.6028468
765,159.9767431
766,160.16
767,160.16
768,160.4192521
769,160.2707358
770,160.16
771,160.3892883
772,160.6133655
773,160.7944511
774,161.0988661
775,161.6
776,161.6
777,161.6
778,161.6
779,161.6
780,161.6
781,161.7684922
782,162.2670205
783,161.96
784,161.96
785,162.1493366
786,163.0239324
787,163.04
788,163.0994934
789,163.3504946
790,163.0795175
791,163.4
792,163.4
793,163.4
794,163.4
795,163.7495778
796,163.76
797,164.0179493
798,164.145187
799,164.362316
800,164.7831122
801,164.5229916
802,164.8109047
803,164.84
804,165.0996864
805,164.9503016
806,165.0797105
807,165.2
808,165.4740169
809,165.92
810,165.8379252
811,165.8044873
812,166.1393004
813,166.052883
814,166.28
815,166.4315561
816,166.64
817,166.7698432
818,166.8801448
819,166.64
820,166.7398794
821,167.2349337
822,167.4399035
823,167.4420748
824,167.6366224
825,167.7699397
826,168.08
827,168.08
828,168.08
829,168.08
830,168.08
